PairID,Text,Pred_Score
ARQ-test-0001,"راسي يوجع بالصح ما رانيش حاب نرقد
 جوايه لحداش هكاك نرقد الوقت هداك هو",0.9665699601173401
ARQ-test-0002,"راه قريب يغلق شهر
 بابا بالخميس راح لتبسة",0.9813317060470581
ARQ-test-0003,"أني نمدهولك ما على باليش بلاك نمدهولك لعشية على الساعتين
 هاه ولا الوحدة و نص أي كل مرة كيفماه",0.9901720285415649
ARQ-test-0004,"يعود هو يحشم منك يحشم يدير حاجة ماشي مليحة
 والله دوك راني ندير في الاستدعاءات عندي زوج تلاميد",0.9870277643203735
ARQ-test-0005,"لاباس و انت لاباس أكي بخير
 والله الحمد لله يسقسي عليك الخير",0.953990638256073
ARQ-test-0006,"ما تخافوش درك نهربوا منهم ما تخافوش
 ما تخافيش رشيدة بنتي ما تخافيش",0.9819647669792175
ARQ-test-0007,"وش من عام
 ﭘﺮوميار اني إينيڢارسيتار",0.9825685620307922
ARQ-test-0008,"على بالك وش غاضني خلاه كي روﭘﻮرتاولك لاسوتنونس
 غاضني حمص دوبل زيت و الغدا في الريستورن",0.9943655133247375
ARQ-test-0009,"فوور خويا شمسو توجوور
 بزااف فور فور فور روعة",0.9908514022827148
ARQ-test-0010,"ماشي مشكل
 يسكن هنا",0.9822076559066772
ARQ-test-0011,"أسمعي ما خلصتنيش
 خفت يحكمك الجن",0.9696001410484314
ARQ-test-0012,"يديوها غدوة غدوة حتي يفض العام
 هادي هي يقراو غير شهرين ولا تلاتة",0.9412093758583069
ARQ-test-0013,"صح على بالي و تاني باش يموتڢينا
 كيما بكري نقراو كي نشوفو الشيخ",0.9924378991127014
ARQ-test-0014,"دارو أكسيدون
 كاين الغاشي",0.9696558713912964
ARQ-test-0015,"دير وش دير اﻟﻤﻄﻠﭭﺔ ﻣﻄﻠﭭﺔ
 ما حكيتليش لحكاية أدي قبل",0.9975317120552063
ARQ-test-0016,"افضل حلقة فور صالح اوقرت كمل هكدا
 يعطيك الصحة جربتو جاني روعة رابي يحفضاك",0.949769139289856
ARQ-test-0017,"قعدﺖ مع الهادي برا
 عمبالو خو مريم سارڢور",0.9972838163375854
ARQ-test-0018,"روعة يعطيك الصحة اليوم نديرها انشاء الله شكرا ام وليد
 ام وليد يعطيك الصحة ماعليش ديرينا دزيريات شكرا",0.982330322265625
ARQ-test-0019,"هاديك العين حق بالصح ما تقدرش تفسرها حاجة ربي
 تسمى هادو الحوايج لي خلاهم ربي أﻣﭙﻮسيبل توصللهم",0.9648816585540771
ARQ-test-0020,"قنبلة خويا لطفي كالعادة
 روعة كي العادة لطفي",0.9985498785972595
ARQ-test-0021,"و هدوك منين جاو
 من الجامعة كانو ديزلاڢ",0.9992012977600098
ARQ-test-0022,"شفتي أنت أو مام تسحر تغسل فمك تبقى نايض أي ما تجيش الراحة
 و كي تسحر ومام تغسل فمك و ترﭬﺪ و تنوض فمك في حالة",0.9684086441993713
ARQ-test-0023,"أنا من دوك ما لقيتش حسابي
 اللولة واعرة تاع المروك و تونس شوية",0.9777102470397949
ARQ-test-0024,"بيان سور سليمة ، ربي يشفيك
 نروحو ڤاع سليمة أنا تاني عييت",0.9820547103881836
ARQ-test-0025,"أسمعي حتى لعراس فضو باه نتلاڤاو شفتي
 شفتي والله أنا عندي العرس تاع عبد النور",0.9485460519790649
ARQ-test-0026,"حتى الدرك حكينا على كلش حتى على لا بولتيك
 أنا البارح بديت نكتب لي ايمايل تيعك بالعربية",0.9993194937705994
ARQ-test-0027,"الجن الجن يعشي يتمسخر بهداك المرقي
 يعرف لي ﭘﻮان فابل تاع العباد",0.9372838139533997
ARQ-test-0028,"ڤالت لي العام الجديد تخلصي سيموا
 ڤالت لي لازم ترﻳڤال لي لوﭘﺮوبلام",0.9686644077301025
ARQ-test-0029,"يا ماشي مالفة نكبر هكا
 راح تكبري حبيتي ولا كرهت",0.9824293255805969
ARQ-test-0030,"ﻟقيت مرت جمال تما
 العجوزة و الشيخ وحدهم",0.9855619072914124
ARQ-test-0031,"ما على باليش أني عيط لها درك
 و اليوم مالا وش رحتي درتي",0.9765900373458862
ARQ-test-0032,"ﭬﺎتلهم جامي شفتكم
 خزرت معاهم أنا",0.9651207327842712
ARQ-test-0033,"هه ايا عليلو ايا عليلو واش كاين فما
 ربي يعاونك خويا شمسو الله يرحم جميع الوالدين صحا رمضانكم",0.997556746006012
ARQ-test-0034,"أديكا الزرﭬﺔ لي القرعة تحا زرﭬﺔ
 والله ما عرفتها و فضت أديكا درك",0.9971588253974915
ARQ-test-0035,"ڤالت لي و يموت على يكوپي
 ﭬﺎتلها خديجة أه مليك يخرج حاجة",0.931860625743866
ARQ-test-0036,"و انا واحد من الناس ما نقدرش نعيش بعيد على يما
 لي قاعد قدامك هدا ماكاش واحد في الدنيا يحب يماه قدو",0.9697911143302917
ARQ-test-0037,"لكان تاع شفا ربي يشفيه
 حبست لكاشيات هي لي ضرتني",0.9361402988433838
ARQ-test-0038,"لالا راهي نورمال
 الحمد لله شبعت",0.9875689744949341
ARQ-test-0039,"ما عنديش حكيتلك كيفاش تعرفت عليه صدفة
 الراجل هداك لي قال لي عليه",0.9811798334121704
ARQ-test-0040,"منال الخمار تيعك يخرج مع لاڢاست تيعي
 هاه صح بصح يخرج مع لاڢاست تيعي وسي",0.9479747414588928
ARQ-test-0041,"مسا الخير سليمة
 مسا الخير كريمة",0.9256812930107117
ARQ-test-0042,"فور لطفي كونطرا على شياتين
 ماينـة خويا لطفي ربـي ايعوناك",0.9518961906433105
ARQ-test-0043,"مانسوطيش راني معاك
 عطيك الصحة خويا",0.9032255411148071
ARQ-test-0044,"واش قلتو في الهجرة
 واش من هجرة ؟",0.9928544163703918
ARQ-test-0045,"تلت سنين شوية فوق تلت سنين
 ايه تلت سنين و نص قريب ربعة",0.9916476607322693
ARQ-test-0046,"ربي يتقبل ما تنسايش تدعي لنا
 نشالله مالة واش تحكي كاش جديد",0.9909271597862244
ARQ-test-0047,"يعيطلنا ليزانديجان
 أياه وعلاش",0.9810800552368164
ARQ-test-0048,"قال لها راكي أختي و قال لها كي نضمن لك مستقبلك راني نطلقك نورمال
 قلت له هي أه و امبعد قالت راني مرتو ما نطلقش منه فهمتي",0.9950026273727417
ARQ-test-0049,"أو لازم يجيب السلعة باه يمشي لوزين
 و كيفاه يبيعوهم أم ما يتباعولهمش",0.9945340156555176
ARQ-test-0050,"و مازال كتبت برك في ڤوڤل أمثال جزائرية خرجوا معمرة
 الناس راهي تشارك شويه   شوفوا هدا  الديكسيونير  فرنسي دارجة",0.9755249619483948
ARQ-test-0051,"أم غير يسايسو فيه يهدرو معاه و يضحكو ما جبدولوش على لحكاية خلاه
 ﭬﺘﻠﻬﺎ اهدرو معاه و ضحكوه و اجبدوا منو الهدرة إدا ڤعد كيما أك يديوه ﻟﭙﺴﻴﻜﻮلوڤ",0.9656556248664856
